اسم الخدمة,خطوات الخدمة,المستندات المطلوبة,سعر الخدمة,متطلبات الخدمة,صفة المستخدم
اصدار الاقامة,1-تسجيل الدخول إلى منصة أبشر أعمال. 2-اختيار خدمات أعمالي من القائمة الرئيسية. 3-اختيار إصدار الإقامة من قائمة الخدمات المتاحة. 4-إدخال البيانات المطلوبة وإتمام الخطوات حسب الإرشادات.,1- سداد رسوم إصدار هوية مقيم. 2- اختيار العمالة او المقيم المراد إصدار هوية مقيم له . 3- إدخال البيانات المطلوبة.,متغير حسب الخدمة,1-تواجد العامل داخل أراضي المملكة العربية السعودية. 2-سداد رسوم إصدار الإقامة وغرامة التأخير إن وُجدت. 3-سداد المخالفات المرورية المسجّلة على العامل إن وُجدت. 4-تسجيل بصمة وصورة للعامل وتابعيه. 5-تسجيل واجتياز الفحص الطبي للعامل في المراكز الطبية المعتمدة. 6-توفير تأمين طبي للعامل وأفراد أسرته في حال وجودهم معه. 7-سريان جواز سفر العامل عند استخدام الخدمة. 8-ألا يكون العامل مسجّلًا في النظام كمتغيب عن العمل. 9-يجب أن يكون العامل حاصلًا على رخصة عمل لبعض الوظائف المطلوبة.,لا ينطبق
تجديد الاقامة,1-تسجيل الدخول إلى منصة أبشر أعمال. 2-اختيار خدمات أعمالي من القائمة الرئيسية. 3-اختيار تجديد الإقامة من قائمة الخدمات المتاحة. 4-إدخال البيانات المطلوبة وإتمام الخطوات حسب الإرشادات.,1- سداد رسوم تجديد هوية مقيم. 2- اختيار العمالة او المقيم المراد تجديد هوية مقيم له. 3- إدخال البيانات المطلوبة.,متغير حسب الخدمة,1-تواجد العامل داخل أراضي المملكة العربية السعودية. 2-سداد رسوم إصدار الإقامة وغرامة التأخير إن وجدت. 3-سداد المخالفات المرورية المسجّلة على العامل إن وجدت. 4-تسجيل بصمة وصورة للعامل وتابعيه. 5-تسجيل واجتياز الفحص الطبي للعامل في المراكز الطبية المعتمدة. 6-توفير تأمين طبي للعامل وأفراد أسرته في حال وجودهم معه. 7-سريان جواز سفر العامل عند استخدام الخدمة. 8-ألا يكون العامل مسجّلًا في النظام كـ متغيب عن العمل. 9-الحصول على رخصة عمل لبعض الوظائف التي تتطلب ذلك.,لا ينطبق
اصدار جواز سفر بدل مفقود,1- تسجيل الدخول إلى أبشر. 2- اختيار خدماتي. 3- اختيار خدمات جواز السفر السعودي. 4- اختيار طلب جديد. 5- اختيار إصدار جواز بدل مفقود. 6- مراجعة معلومات عنوان التوصيل. 7- تعبئة بيانات عنوان التوصيل. 8- اختيار الناقل. 9- مراجعة المعلومات ودفع أجور التوصيل.,1- وجود عنوان وطني محدث على منصة أبشر. 2- سداد جميع المخالفات المرورية المسجلة على المستفيد. 3- سداد رسوم الغرامات. 4- يجب على المستخدم الاطلاع على الإقرار والموافقة عليه.,متغير حسب الخدمة,1- إذا كان عمر المستفيد أقل من 21 سنة يتم إصدار الجواز لمدة 5 سنوات فقط. 2- إذا كان عمر المستفيد 21 سنة أو أكثر يمكنه اختيار صلاحية الجواز (5 أو 10 سنوات). 3- أن تكون هوية المواطن/المواطنة سارية المفعول. 4- توفر بصمة وصورة في أنظمة وزارة الداخلية. 5- سيتم اعتماد الصورة المسجلة في الأنظمة في الجواز الصادر. 6- أن يكون المستفيد متواجدًا داخل المملكة العربية السعودية عند تقديم الطلب. 7- ألا يكون لدى المستفيد جواز سفر سارٍ آخر أو مرافقًا في جواز سفر شخص آخر. 8- أن يكون المستفيد على قيد الحياة عند تقديم الطلب. 9- أن يتم الإبلاغ عن فقدان أو سرقة الجواز.,لا ينطبق
اصدار تأشيرة الخروج والعودة او الخروج النهائي,1-تسجيل الدخول إلى منصة أبشر. 2-اختيار خدمات التأشيرات من قائمة الخدمات الإلكترونية. 3-اختيار الشخص الذي ترغب فى عمل التأشيرة له (خروج وعودة أو تأشيرة خروج نهائى). 4-أدخل البيانات المطلوبة. 5-اختر أيقونة (إصدار تأشيرة خروج وعودة). 6-يمكنك طباعة التأشيرة,1-سداد رسوم التأشيرة 2-سداد جميع المخالفات المرورية على الفرد المراد الإصدار له أو العامل وصاحب العمل. 3-تواجد الفرد المراد إصدار التأشيرة له داخل الأراضي السعودية عند إصدار التأشيرة. 4-أن تكون صلاحية جواز سفر الفرد المراد إصدار التأشيرة له 60 يومًا أو أكثر للخروج النهائي و90 يومًا فأكثر للخروج والعودة. 5-سريان صلاحية الإقامة للفرد المراد إصدار التأشيرة له. 6-ألا يكون للفرد المراد إصدار التأشيرة له مركبة مسجلة باسمه عند إصدار تأشيرة الخروج النهائي. 7-وجود بصمة مسجلة للفرد المراد إصدار التأشيرة له (للذكور والإناث من 15 عاما وأكبر).,متغير حسب الخدمة,1-تواجد الفرد المراد إصدار التأشيرة له داخل المملكة وقت إصدار التأشيرة. 2-تاريخ العودة قبل يمكن أن يكون 7 أيام قبل تاريخ انتهاء الإقامة (سيتم تطبيق الشروط والمتطلبات الأخرى للخدمة). 3-يجب أن تكون صلاحية الإقامة تساوي أو أكثر من (90 يوم بالإضافة إلى القيمة المدخلة) وذلك في حالة إصدار تأشيرة خروج وعودة لسفرة واحدة بخيار المدة بالأشهر. 4-في حالة الإصدار بتاريخ العودة قبل فإن التاريخ المدخل سيكون هو آخر تاريخ للدخول للمملكة العربية السعودية. 5-سيتم اعتماد التاريخ الميلادي في حال اختلاف التاريخ. 6-وجود بصمة للفرد المراد إصدار التأشيرة له (للذكور والإناث من 6 عاماً و أكبر) 7-في حال الرغبة في زيارة إحدى دول الخليج الرجاء التأكد من ان تكون الإقامة سارية لمدة لا تقل عن 3 أشهر من تاريخ السفر,لا ينطبق
الاستعلام عن حالة تأشيرة خروج وعودة,1-تسجيل الدخول إلى أبشر 2-اختيار العمالة 3-الضغط على استعلامات 4-اختيار حالة تأشيرة خروج وعودة 5-إدخال بيانات المستفيد,1-هوية رقمية مفعّلة حساب في أبشر 2-رقم الإقامة للمستفيد الذي أصدر له تأشيرة خروج وعودة 3-إضافة رقم الجواز ورقم التأشيرة والرمز المرئي الظاهر للمستفيد,مجانية,1-أن يكون لدى المستفيد هوية رقمية مفعلة حساب في أبشر 2-أن يكون لدى المستفيد المراد الاستعلام عن حالته تأشيرة خروج وعودة سارية 3-أن يكون لديه بيانات المستفيد من خدمة إصدار تأشيرة خروج وعودة,لا ينطبق
تمديد تأشيرة الزيارة,للعمالة المنزلية : خدمات العمالة - الخدمات - تمديد تأشيرة الزيارة لأفراد الأسرة: خدمات أفراد الأسرة - الخدمات - تمديد تأشيرة الزيارة,1-توفر حساب مفعل على منصة أبشر. 2-سداد رسوم تمديد التأشيرة. 3-سريان جواز سفر الزائر وقت تقديم طلب التمديد.,100,1-في وقت التمديد يجب أن تكون المدة المتبقية من صلاحية التأشيرة سبعة أيام أو أقل أو ألا يكون مضى على انتهائها أكثر من ثلاثة أيام متضمنة تاريخ الانتهاء. 2-أن يكون صاحب التأشيرة (الزائر) متواجد داخل المملكة العربية السعودية . 3-سداد رسوم تمديد التأشيرة. 4-سريان جواز صاحب التاشيرة (الزائر) وقت عملية التمديد. 5-أن يكون كل من طالب التأشيرة و صاحب التأشيرة (الزائر) على قيد الحياة. 6-ألا يكون على صاحب التأشيرة (الزائر) مخالفات مرورية غير مدفوعة. 7-يجب أن تغطي مدة التأمين الطبي فترة التمديد المطلوبة . 8-يمكن تمديد تأشيرة الزيارة من نوع مفردة ومتعددة.,Null
تمديد تأشيرة خروج وعودة لمن هم خارج المملكة,1-تسجيل الدخول إلى موقع منصة أبشر 2-اختيار العمالة 3-اختيار التأشيرات 4-ثم اختيار تمديد تأشيرة الخروج والعودة لمن هم خارج المملكة 5-تحديد المستفيد المراد تمديد التأشيرة له 6-إدخال البيانات المطلوبة 7-تأكيد طلب التمديد,1-أن يكون لدى المستفيد حساب مفعّل في منصة أبشر. 2-تواجد الفرد المراد إصدار التأشيرة له خارج المملكة وقت تمديد التأشيرة,متغير حسب الخدمة,1-سداد رسوم تمديد التأشيرة. 2-ألّا يكون صاحب العمل أو العامل أو أحد أفراد الأسرة مسجلاً في أنظمة وزارة الداخلية بأي من الحالات التالية: هارب أو لديه مخالفة استقدام. 3-أن يكون تاريخ العودة قبل انتهاء الإقامة بسبعة أيام كحد أقصى. 4-أن تكون صلاحية الإقامة 90 يومًا أو أكثر بما في ذلك مدة التمديد عن اختيار تمديد التأشيرة بالأيام.,Null
إصدار جواز السفر السعودي,1-تسجيل الدخول إلى منصّة أبشر 2-اختيار خدماتي 3-اختيار الجوازات 4-اختيار إصدار جواز السفر السعودي 5-اختيار طلب إصدار جواز 6-تحديد مدة التجديد والإقرار بالموافقة على الشروط المطلوبة 7-تحديد خيارات الاستلام والموافقة على الإقرارات المطلوبة ثم اختيار التالي 8-تعبئة بيانات عنوان التوصيل واختيار طريقة التوصيل والموافقة على الإقرار المطلوب 9-مراجعة المعلومات وسداد الرسوم,1-وجود عنوان وطني محدث على منصة أبشر 2-سداد جميع المخالفات المرورية المسجلة على المستفيد 3-سداد رسوم إصدار الجواز بما يتناسب مع مدة الصلاحية المختارة 4-يجب على المستخدم الاطلاع والإقرار على بيانات,متغير حسب الخدمة,1-إذا كان عمر المستفيد أقل من 21 سنة يتم إصدار الجواز لمدة (5) سنوات فقط 2-إذا كان عمر المستفيد 21 سنة أو أكثر يمكنه اختيار صلاحية الجواز (5 أو 10 سنوات) 3-أن تكون هوية المواطن/المواطنة سارية المفعول 4-توفر بصمة وصورة في أنظمة وزارة الداخلية 5-سيتم اعتماد الصورة المسجلة في الأنظمة في الجواز الصادر 6-أن يكون المستفيد متواجدًا داخل المملكة العربية السعودية عند تقديم الطلب 7-ألا يكون لدى المستفيد جواز سفر سارٍ آخر أو مرافقًا في جواز سفر شخص آخر 8-أن يكون المستفيد على قيد الحياة عند تقديم الطلب,الأشخاص ذوي الإعاقة الأطفال الشباب المرأة كبار السن
تجديد هوية مقيم,أم المواطن أو المستثمر: خدماتي - الجوازات - خدمات هوية مقيم - تجديد هوية مقيم للعمالة المنزلية: خدمات العمالة - خدمات هوية مقيم - اختيار المستفيد- تجديد هوية مقيم للمرافقين لأفراد الأسرة: خدمات أفراد الأسرة - خدمات هوية مقيم - اختيار المستفيد - تجديد هوية مقيم,1-سداد رسوم تجديد هوية مقيم . 2-اختيار العمالة او المقيم المراد تجديد هوية مقيم له. 3-إدخال البيانات المطلوبة والموافقة على الإقرار.,متغير حسب الخدمة,1-تسديد رسوم الإقامة للفترة المطلوبة. 2-عدم وجود مخالفات مرورية غير مسددة مسجلة على المستفيد المحدد. 3-سريان جواز سفر المستفيد المحدد. ألا يكون المستفيد المحدد مسجلا كمتغيب عن العمل. 4-توفر بصمة وصورة المستفيد المحدد وفرد الأسرة (أكبر من 6 سنوات) مسجلة بالنظام. 5-يجب ألا يكون هناك أفراد أسرة مسجلين في جواز المستفيد المحدد يلزم استخراج جواز مستقل لكل فرد أسرة. 6-يجب ألا تكون الإقامة منتهية منذ أكثر من 6 اشهر.,Null
الإبلاغ عن فقدان الجواز السعودي لأفراد الأسرة,1-تسجيل الدخول إلى منصّة أبشر 2-اختر خدماتي 3-اختر الجوازات 4-اختر الإبلاغ عن فقدان الجواز السعودي 5-اختر بلاغ جديد 6-اختر المستفيد 7-اختر نوع البلاغ 8-قم بتعبئة تفاصيل البلاغ والإقرار على صحة المعلومات 9-أجب عن الأسئلة المطلوبة 10- تم رفع البلاغ بنجاح,1-وجود عنوان وطني محدث على منصة أبشر. 2-يجب أن يقوم بتنفيذ الخدمة أحد الوالدين للفرد المستفيد. 3-يجب على المستخدم الاطلاع والإقرار على بيانات,مجانية,1-أن يكون لدى المواطن جواز سفر سعودي له أو لأحد أفراد أسرته. 2-أن تكون حالة الجواز صالح. 3-ألا يكون لدى المستفيد بلاغ قيد المعالجة. 4-تواجد فرد الأسرة داخل المملكة العربية السعودية أثناء تقديم البلاغ. 5-أن يكون فرد الأسرة على قيد الحياة. 6-يجب ألا يكون الجواز الحالي لفرد الأسرة مفقود أو مسروق أو تالف.,Null
