اسم الخدمة,خطوات الخدمة,المستندات المطلوبة,سعر الخدمة,متطلبات الخدمة,صفة المستخدم
اصدار رخصة السير,1-تسجيل الدخول إلى منصة أبشر أعمال. 2-اختيار خدمة تسجيل مركبة جديدة. 3-إدخال بيانات مشتري المركبة. 4-التحقق من البيانات المدخلة والتأكد من وجود تأمين ساري وسداد الرسوم.,• أن يكون لدى المستفيد هوية رقمية مفعّلة في منصة أبشر.,متغير حسب الخدمة,1-سداد الرسوم الحكومية الخاصة بتسجيل المركبة. 2-وجود تأمين ساري المفعول على البطاقة الجمركية.,لا ينطبق
الاعتراض على المخالفات المرورية,1-خدماتي 2-خدمات المرور 3-الاعتراض على المخالفات المرورية,1-توفر حساب مفعل على منصة أبشر. 2-أن تكون المخالفة مسجلة باسم مقدم الاعتراض.,مجانية,1-يجب ألا تتجاوز مدة تسجيل المخالفة المرورية أكثر من 30 يومًا عند تقديم الاعتراض. 2-لا يمكن الاعتراض على مخالفة سبق الاعتراض عليها عبر أبشر وصدر فيها قرار من اللجنة المختصة. 3-لا يمكن تقديم اعتراض جديد إذا كان هناك اعتراض آلي مفتوح لنفس الشخص لا يزال قيد المعالجة. 4-يُسمح بتقديم عدد غير محدود من الاعتراضات الآلية ما لم يتم رفض خمس اعتراضات آلية خلال نفس السنة الهجرية.,Null
تفويض مركبة,1-تسجيل الدخول إلى أبشر 2-اختيار المركبات 3-الضغط على إدارة المركبات 4-اختيار المركبة 5-اختيار التفويض على المركبات 6-الضغط على إصدار تفويض وإدخال بيانات وتحديد نوع التفويض,1-أن يكون المفوض مالك المركبة 2-أن يكون لديه تأمين ساري 3-أن يكون لدى المفوّض والمفوّض له لديهما حسابين في منصة أبشر 4-أن يكون لدى المفوّض له خارجيًا تأشيرة خروج وعودة لا تتجاوز مدتها مدة التفويض,مجانية,1-صلاحية رخصة سير المركبة مع وجود تأمين سار عليها. 2-عدم تجاوز مدة التفويض لصلاحية رخصة سير المركبة. 3-عدم تجاوز مدة التفويض لصلاحية رخصة قيادة المفوض له. 4-لا يُسمح بإضافة مفوض لمن يحمل تأشيرة خروج نهائي. 5-عدم تجاوز مدة التفويض مدة التأشيرة للمفوض الذي يحمل تأشيرة خروج وعودة.,لا ينطبق
إصدار رخصة قيادة,1-تسجيل الدخول إلى موقع منصة أبشر 2-اختيار خدماتي 3-اختيار المرور من قائمة الخدمات 4-اختيار خدمة إصدار رخصة القيادة 5-قراءة وصف الخدمة ثم اختيار الانتقال إلى الخدمة 6-اختيار أحد مدارس تعليم القيادة المتاحة 7-تأكيد التاريخ 8-اختيار حجز موعد 9- ستصلك رسالة تؤكد حجز موعدك,• سداد رسوم إصدار الرخصة عبر المدفوعات الحكومية من خلال البنوك.,متغير حسب الخدمة,1- ألّا يقل عمر المتقدم عن 18 عامًا. 2-التأكد من حجز موعد في أحد مدارس تعليم القيادة. 3-وجود فحص طبي من أحد المراكز الطبية المعتمدة.,الأشخاص ذوي الإعاقة الشباب المرأة
مبايعة مركبات,قبل البدء: 1- التأكد من الأهلية: يجب أن يكون كل من البائع والمشتري مسجلين في منصة أبشر. كما يجب أن تفي المركبة بمعايير معينة مثل أن تكون من نوع خصوصي أو نقل خاص بالنسبة للمواطنين وخصوصي فقط بالنسبة للمقيمين. كما يجب أن تكون المركبة مسجلة سارية المفعول وتحتوي على فحص دوري ساري المفعول وتأمين ساري المفعول. يمكنك الاطلاع على متطلبات الأهلية الكاملة من خلال الرابط التالي: https://www.absher.sa/vot 2- الاتفاق على الشروط: يجب أن يتفق البائع والمشتري على سعر البيع وشروط أخرى قبل بدء عملية المبايعة عبر أبشر. 3- للبائع: 3.1 - تسجيل الدخول إلى منصة أبشر عبر الموقع الإلكتروني أو التطبيق. 3.2- الانتقال إلى خدمات المركبات: ابحث عن قسم خدمات المركبات في أبشر ثم اختر بيع المركبات. 3.3- اختيار المركبة: اختر المركبة التي تريد نقلها من القائمة المعروضة. 3.4- إدخال معلومات المشتري: أدخل رقم هوية المشتري وتاريخ ميلاده. 3.5- تحديد سعر البيع: أدخل سعر البيع المتفق عليه. 3.6- إضافة تفاصيل الحساب المصرفي: أدخل رقم حسابك المصرفي الذي تريد أن يتم إيداع عائدات البيع فيه. 3.7- مراجعة وتأكيد الطلب: راجع جميع المعلومات المدخلة بعناية ثم أكد الطلب. 3.8- انتظار رد المشتري: سيتلقى المشتري إشعارًا بطلب النقل خلال ساعة واحدة وسيتمكن من قبوله أو رفضه. 3.9- إتمام التسليم والدفع: بمجرد قبول المشتري يجب على الطرفين إتمام تسليم المركبة والدفع (من خلال نظام الدفع الآمن في أبشر) قبل تأكيد النقل. 4- للمشتري: 4.1- قبول الطلب: ستتلقى إشعارًا من أبشر بشأن طلب النقل. راجع التفاصيل واقبل الطلب خلال ساعة واحدة إذا كنت موافقًا. 4.2- مراجعة المعلومات: راجع معلومات المركبة وسعر البيع بعناية قبل تأكيد قبولك. 4.3- تحويل المبلغ: استخدم نظام الدفع الآمن في أبشر لتحويل المبلغ المتفق عليه إلى حساب البائع. 4.4- الحصول على تأمين جديد: احصل على تأمين جديد للمركبة قبل إتمام النقل. 4.5- دفع الرسوم الحكومية: ادفع الرسوم الحكومية البالغة 150 ريالًا سعوديًا ورسوم أبشر البالغة 230 ريالًا سعوديًا. 4.6- تأكيد التسليم: بمجرد استلام المركبة والتحقق منها يجب عليك تأكيد التسليم عبر أبشر. 4.7- نقل الملكية: عند التأكيد سيتم نقل ملكية المركبة إليك رسميًا. 5- نصائح إضافية: 5.1- فكر في استخدام ميزة النقل الخاص لمزيد من الأمان والحماية أثناء المعاملة. 5.2- يمكنك الرجوع إلى أدلة أبشر الرسمية للحصول على تعليمات تفصيلية ووسائل مساعدة مرئية. 5.3- إذا واجهت أي مشاكل أو لديك أي أسئلة فلا تتردد في الاتصال بالدعم الفني لمنصة أبشر للحصول على المساعدة.,1-أن يكون لدى البائع والمشتري حساب في منصة أبشر. 2-وجود حساب بنكي خاص لكلاً من البائع والمشتري.,متغير حسب الخدمة,1-أن يكون ثمن المركبة ما بين 500 إلى 1 000 000 2-أن تكون حالة المركبة سليمة وغير موقوفة مفقودة مطلوبة أو محجوزة يمكن مبايعة المركبات من نوع خصوصي أو نقل خاص بالنسبة للمواطنين ومن نوع خصوصي بالنسبة للمقيمين 3-سريان رخصة سير المركبة 4-يجب توفر فحص دوري للمركبة ساري المفعول 5-يجب توفر تأمين للمركبة ساري المفعول 6-سداد الرسوم الحكومية عبر نظام المدفوعات الحكومية (سداد) 7-عدم وجود مخالفات على المشتري أو المركبة,Null
تجديد رخصة القيادة,1-تسجيل الدخول إلى موقع منصة أبشر 2-اختيار خدماتي 3-اختيار المرور من قائمة الخدمات 4-اختيار خدمة تجديد رخصة القيادة 5- قراءة وصف الخدمة وشروطها وأحكامها ثم اختيار التالي 6-مراجعة البيانات الشخصية وتحديد عدد سنوات التجديد (سنتين 5 سنوات 10 سنوات) واختيار تأكيد التجديد 7-تعبئة بيانات العنوان الوطني لطلب توصيل الرخصة 8-مراجعة البيانات المدخلة 9-دفع أجور التوصيل باستخدام بطاقة (فيزا مدى ماستركارد) 10-تم تجديد رخصة القيادة,1-سداد المخالفات المرورية؛ -إن وجدت-. 2-سداد رسوم تجديد الرخصة من خلال المدفوعات الحكومية عبر البنوك. 3-وجود فحص طبي من أحد المراكز الطبية المعتمدة.,متغير حسب الخدمة,1-تشمل هذه الخدمة تجديد رخصة القيادة من نوع خصوصي والدراجات الآلية فقط. 2-سداد رسوم تجديد الرخصة من خلال المدفوعات الحكومية عبر البنوك. 3-سداد المخالفات المرورية؛ -إن وجدت-. 4-أن تكون المدة المتبقية من صلاحية رخصة القيادة أقل من 365 يومًا. 5-وجود فحص طبي من أحد المراكز الطبية المعتمدة.,Null
تجديد رخصة سير,1-تسجيل الدخول إلى منصة أبشر 2-اختيار المركبات 3-اختيار إدارة المركبات من قائمة الخدمات 4-اختيار المركبة المراد تجديد رخصتها 5-اختيار تجديد رخصة سير 6-التحقّق آليًا من أهلية المستفيد لتجديد رخصة السير وفقًا لشروط ومتطلبات الخدمة 7-اختيار تأكيد التجديد 8-تم تجديد رخصة السير بنجاح,• وجود رخصة سير سابقة.,متغير حسب الخدمة,1-وثيقة تأمين سارية على المركبة. 2-شهادة الفحص الفني سارية المفعول. 3-سداد رسوم التجديد ومخالفة التأخير إن وجدت. 4-سداد المخالفات المرورية إن وجدت. 5-ألا تقل صلاحية رخصة سير المركبة عن 180 يومًا.,Null
إسقاط المركبات,1- تسجيل الدخول إلى موقع منصة أبشر أعمال 2-اختيار الخدمات الاستعلامية 3-اختيار إسقاط المركبات 4-اختيار المنطقة 5-عرض عدد المراكز في المنطقة 6-اختيار المركز وعرض الموقع,1-ألا يكون هنا أي مخالفات مرورية على المركبة 2-أن تكون رخصة سير المركبة سارية 3-أن يكون مالك المركبة على قيد الحياة 4-يجب سداد رسوم الخدمة,150,1-أن يكون للشخص حساب فعال في أبشر أعمال 2-يجب توفر سجل تجاري ساري الصلاحية 3-يجب توفر رخصة بلدية سارية الصلاحية 4-يجب على مالك التشليح الموافقة على التعهد,Null
طباعة رخصة السير,1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار المركبات 3- اختيار إدارة المركبات 4- اختيار المركبة 5- اختيار طباعة رخصة السير 6- تقديم طلب الطباعة واختيار التوصيل عبر البريد,1- سريان صلاحية رخصة السير. 2- سداد جميع المخالفات المرورية المسجلة على المركبة. 3- توفر عنوان وطني مفعل.,57.5,1- أن يكون لدى المستفيد هوية رقمية في منصة أبشر. 2- توفر مركبة مسجلة باسم المستفيد في النظام. 3- توفر وسيلة دفع إلكترونية.,غير متوفر
المحفظة الرقمية للوحات,1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار المركبات من القائمة 3- اختيار خدمات 4- اختيار المحفظة الرقمية للوحات 5- استعراض وثيقة ملكية اللوحة ضمن المحفظة الرقمية,1- أن يكون لدى المستفيد هوية رقمية في منصة أبشر. 2- أن يكون المستفيد هو الفائز باللوحة في المزاد الإلكتروني. 3- توفر اللوحة في سجل المستفيد.,مجانية,1- أن تكون اللوحة مباعة عبر المزاد الإلكتروني. 2- ألا تكون اللوحة مرتبطة بمخالفة أو نزاع قائم. 3- الالتزام بعدم نقل اللوحة أو بيعها قبل إتمام التسجيل الرسمي.,غير متوفر
