service_id,service_title_ar,description_full,beneficiaries,fees,conditions,access_path
1,حجز موعد,الهدف من الخدمة: تمكين الأفراد المسجلين في بوابة أبشر من حجز موعد لدى المديرية العامة للجوازات.,المواطن والمقيم المسجل والمفعل ببوابة أبشر.,,,مواعيد > الجوازات > حجز موعد
2,نقل خدمات العمالة المنزلية,الهدف من الخدمة: تمكين المواطنين المسجلين والمفعلين ببوابة أبشر من نقل خدمات العمالة المنزلية إلكترونياً.,المواطن والمقيم المسجل والمفعل ببوابة أبشر ولديهم عمالة منزلية.,2000 ريال للمرة الأولى، 4000 ريال للمرة الثانية، 6000 ريال للمرة الثالثة.,"الشروط:
عدم وجود مخالفة مرورية… (النص الكامل موجود لدى المستخدم)",خدمات العمالة > خدمات > نقل خدمات العمالة المنزلية
3,تصاريح السفر لأفراد الأسرة,تمكين الأفراد من إصدار وإلغاء تصاريح السفر لأحد أفراد الأسرة بشكل إلكتروني.,المواطن المسجل والمفعل ببوابة أبشر.,,الشروط: النص الكامل كما ورد.,خدمات أفراد الأسرة > خدمات > تصاريح السفر لأفراد الأسرة
4,تفويض استقبال القادمات للعمل,تمكين المستخدم من تفويض من يرغب لاستقبال العاملة القادمة للعمل.,المواطن والمقيم المسجل والمفعل ببوابة أبشر.,,يمكن استقبال القادمات للعمل من مطارات محددة.,التفويض > تفويض استقبال القادمات للعمل
5,تجديد جواز السفر السعودي,تمكين المواطن من تجديد جواز السفر له أو أحد أفراد الأسرة السعوديين بشكل إلكتروني.,المواطن المسجل والمفعل ببوابة أبشر.,300 ريال لمدة 5 سنوات، 600 ريال لمدة 10 سنوات.,شروط الخدمة كما وردت بالتفصيل.,خدماتي > خدمات > الجوازات > تجديد جواز السفر السعودي
6,تحديث معلومات جواز سفر للمقيمين,تمكين الأفراد من تحديث معلومات جوازات أفراد الأسرة أو العمالة إلكترونياً.,المواطن والمقيم.,,شروط الخدمة كما وردت بالتفصيل.,خدمات العمالة > خدمات > تحديث معلومات جواز سفر
7,إصدار الجواز لمن هم أقل من 15 سنة,إصدار جواز السفر السعودي لأفراد الأسرة دون 15 سنة وليس لديهم بصمة.,المواطن.,300 ريال لمدة خمس سنوات.,شروط الخدمة كما وردت.,خدمات أفراد الأسرة > خدمات > إصدار الجواز لمن هم أقل من 15 سنة
8,تبليغ تغيب عن العمل للعمالة المنزلية,تمكين الأفراد من التبليغ عن تغيب العمالة المنزلية عن العمل.,المواطن والمقيم.,,الشروط كما وردت.,خدمات العمالة > خدمات > تبليغ تغيب عن العمل للعمالة المنزلية
9,تجديد الجواز لمن هم أقل من 15 سنة,تجديد جواز السفر السعودي لمن هم دون 15 عاماً إلكترونياً.,المواطن.,300 ريال لمدة 5 سنوات.,الشروط كما وردت.,خدمات أفراد الأسرة > خدمات > تجديد الجواز لمن هم أقل من 15 سنة وليس لديهم بصمة
10,إصدار جواز السفر السعودي,تمكين المواطن أو ولي أمره من إصدار جواز السفر له أو أحد أفراد الأسرة.,المواطن.,300 ريال (5 سنوات)، 600 ريال (10 سنوات).,شروط الخدمة كما وردت.,خدماتي > خدمات > الجوازات > إصدار جواز السفر السعودي
