service_id,service_title_ar,description_full,beneficiaries,fees,conditions,access_path
1,خدمة المواعيد (المرور),تمكين المواطن والمقيم من حجز موعد بفروع المرور لإجراء خدمات متعددة.,المواطن والمقيم.,,,مواعيد > المرور > حجز موعد
2,تواصل (المرور),تقديم طلب للمرور لتركيب جهاز التنبيه (السفتي).,المواطن والمقيم.,,لا يمكن رفع طلب جديد بوجود طلب قائم.,خدماتي > خدمات > المرور > تواصل
3,تجديد رخصة سير,تجديد رخصة سير المركبات إلكترونياً.,المواطن والمقيم.,100 ريال لكل سنة.,وثيقة تأمين سارية، فحص دوري، سداد الرسوم والمخالفات، صلاحية 180 يوم.,خدمات المركبات > خدمات > إدارة المركبات > تجديد رخصة سير
4,تجديد رخصة القيادة,تجديد رخص القيادة إلكترونياً.,المواطن والمقيم.,40 ريال سنوياً، 200 للدراجات 10 سنوات.,سداد الرسوم، سداد المخالفات، فحص طبي، صلاحية أقل من 180 يوم.,خدماتي > خدمات > المرور > تجديد رخصة القيادة
5,خدمات مبايعة المركبات,بيع مركبة خاصة ونقل ملكيتها إلكترونياً.,المواطن والمقيم.,230 ريال.,حساب بنكي، سداد الرسوم، عدم وجود مخالفات، إتمام تسليم المركبة.,خدمات المركبات > خدمات > مبايعة المركبات
6,إضافة مستخدم لمركبة,إضافة مفوض قيادة مركبة داخل/خارج المملكة.,المواطن.,,رخصة سارية، عدم وجود مخالفات، تأشيرة مناسبة، حساب مفعل بأبشر.,خدمات المركبات > خدمات > إدارة المركبات > إصدار تفويض > إضافة مستخدم فعلي
7,إلغاء مستخدم المركبة,إلغاء مستخدم فعلي للمركبة.,المواطن والمقيم.,,لا يمكن الإلغاء بوجود مخالفات على المفوض أو المفوض له.,خدمات المركبات > خدمات > إدارة المركبات > إلغاء تفويض > إلغاء مستخدم المركبة
8,إصدار إذن إصلاح المركبة,طلب إذن إصلاح المركبة دون زيارة المرور.,المواطن والمقيم.,,شروط للحوادث المسجلة وغير المسجلة، اعتماد الورشة، انتهاء الطلب خلال 24 ساعة.,خدمات المركبات > خدمات > إدارة المركبات > إصدار إذن إصلاح المركبة
9,الاعتراض على المخالفات المرورية,الاعتراض على المخالفات المرورية الصادرة.,المواطن والمقيم.,,ألا تتجاوز المخالفة 30 يوم، لا اعتراض سابق، حد 5 اعتراضات مرفوضة سنوياً.,خدماتي > خدمات > المرور > الاعتراض على المخالفات المرورية
10A,الاستعلام الشامل عن المخالفات,الاستعلام عن تفاصيل المخالفات المرورية.,المواطن والمقيم,,,أبشر > خدماتي / استعلامات / المرور
10B,الاستعلام عن صلاحية التأمين على المركبات,التحقق من صلاحية التأمين.,المواطن والمقيم,,مدخلات: الهوية، اللوحة، الرمز المرئي.,أبشر > استعلامات
10C,الاستعلام عن معلومات رخصة القيادة,الاستعلام عن بيانات رخص القيادة.,المواطن والمقيم,,,أبشر > خدماتي / استعلامات / المرور
10D,الاستعلام عن الحوادث المرورية,استعراض وطباعة تقارير الحوادث.,المواطن والمقيم,,مدخلات: الرقم التسلسلي، رقم الحادث.,أبشر > خدمات المركبات / استعلامات
10E,الاستعلام عن المركبات المحجوزة,عرض المركبات المحجوزة ومواقع الحجز.,المواطن والمقيم,,,أبشر > خدمات المركبات / استعلامات
10F,الاستعلام عن مخالفات الزائرين,الاستعلام عن مخالفات الزائرين.,الزائرون الخليجيون والوافدون,,مدخلات: رقم الحدود/جواز/هوية...,أبشر > خدمات استعلامية
