chunk_id,service_id,chunk_title,chunk_text,chunk_type,language,meta
1_description,1,الوصف,حجز موعد لإجراء خدمات الأحوال المدنية مثل الهوية وشهادات الميلاد والوفاة وتسجيل الوقائع.,description,ar,
1_conditions,1,الشروط,,conditions,ar,
1_fees,1,الرسوم,,fees,ar,
1_access,1,طريقة الوصول,مواعيد > الأحوال المدنية > حجز موعد,access,ar,
2_description,2,الوصف,الإبلاغ عن فقدان الهوية وسجل الأسرة وشهادات الميلاد والوفاة.,description,ar,
2_conditions,2,الشروط,,conditions,ar,
2_fees,2,الرسوم,,fees,ar,
2_access,2,طريقة الوصول,خدماتي > خدمات > الأحوال المدنية > الإبلاغ عن الوثائق المفقودة,access,ar,
3_description,3,الوصف,الاطلاع على البيانات الشخصية وبيانات الأسرة والعنوان والحج والتأشيرات، وتفويض الجهات.,description,ar,
3_conditions,3,الشروط,,conditions,ar,
3_fees,3,الرسوم,,fees,ar,
3_access,3,طريقة الوصول,خدماتي > خدمات > الأحوال المدنية > بياناتي,access,ar,
4_description,4,الوصف,تقديم طلبات مثل السجل المدني والولادة والوفاة وتعديل البيانات.,description,ar,
4_conditions,4,الشروط,رفع طلب واحد فقط عند عدم وجود طلب قائم.,conditions,ar,
4_fees,4,الرسوم,,fees,ar,
4_access,4,طريقة الوصول,خدماتي > خدمات > الأحوال المدنية > تواصل,access,ar,
5_description,5,الوصف,خدمة لكبار السن والمرضى وذوي الإعاقة لحجز موعد دون زيارة الفرع.,description,ar,
5_conditions,5,الشروط,أن يكون المستفيد كبير سن أو مريض أو من ذوي الإعاقة.,conditions,ar,
5_fees,5,الرسوم,,fees,ar,
5_access,5,طريقة الوصول,مواعيد > الأحوال المدنية > حجز موعد > تقدير,access,ar,
6_description,6,الوصف,تفويض القطاع الخاص للاطلاع على البيانات الرسمية من الأحوال المدنية.,description,ar,
6_conditions,6,الشروط,التفويض للجهات الموثوقة؛ المستخدم مسؤول عن التفويض.,conditions,ar,
6_fees,6,الرسوم,,fees,ar,
6_access,6,طريقة الوصول,خدماتي > خدمات > الأحوال المدنية > بياناتي المطورة,access,ar,
7_description,7,الوصف,تسجيل المواليد إلكترونياً.,description,ar,
7_conditions,7,الشروط,تسجيل خلال 360 يوم؛ عنوان وطني؛ المولود داخل المملكة؛ سداد الغرامات؛ الوالدين بيولوجيين؛ عدم تسجيل سابق.,conditions,ar,
7_fees,7,الرسوم,,fees,ar,
7_access,7,طريقة الوصول,خدماتي > خدمات > الأحوال المدنية > تسجيل المواليد,access,ar,
8_description,8,الوصف,الاستعلام عن بيانات العنوان في العنوان الوطني.,description,ar,
8_conditions,8,الشروط,,conditions,ar,
8_fees,8,الرسوم,,fees,ar,
8_access,8,طريقة الوصول,أبشر > خدماتي / استعلامات / الأحوال المدنية / الاستعلام عن معلومات العنوان,access,ar,
9_description,9,الوصف,التحقق من أحقية أداء فريضة الحج بحسب السنوات الخمس الماضية.,description,ar,
9_conditions,9,الشروط,,conditions,ar,
9_fees,9,الرسوم,,fees,ar,
9_access,9,طريقة الوصول,أبشر > خدماتي / استعلامات / الأحوال المدنية / الاستعلام العام عن أحقية القيام بالحج,access,ar,
