chunk_id,service_id,chunk_title,chunk_text,chunk_type,language,meta
1_description,1,الوصف,تمكين المواطن والمقيم من حجز موعد بفروع الأمن العام لمختلف الخدمات مثل مراجعة معاملة، كفالة سجين، تصديق العمدة، إحضار شهود، استلام مركبة، إذن إصلاح مركبة، مراجعة ضبط، تنازل عن حادث، مراجعة بلاغ وغيرها.,description,ar,
1_conditions,1,الشروط,,conditions,ar,
1_fees,1,الرسوم,,fees,ar,
1_access,1,طريقة الوصول,مواعيد > الأمن العام > حجز موعد,access,ar,
2_description,2,الوصف,تمكين الأفراد من تقديم طلب للأمن العام مع إمكانية الاستعلام عن حالة الطلب.,description,ar,
2_conditions,2,الشروط,لا يمكن رفع طلب جديد عند وجود طلب قائم.,conditions,ar,
2_fees,2,الرسوم,,fees,ar,
2_access,2,طريقة الوصول,خدماتي > خدمات > الأمن العام > تواصل,access,ar,
3_description,3,الوصف,معرفة صلاحية وبيانات رخصة القيادة للمواطن والمقيم.,description,ar,
3_conditions,3,الشروط,,conditions,ar,
3_fees,3,الرسوم,,fees,ar,
3_access,3,طريقة الوصول,أبشر > خدماتي / استعلامات / المرور / الاستعلام عن معلومات رخصة القيادة,access,ar,
4_description,4,الوصف,تمكين الزائرين الخليجيين والوافدين من الاستعلام عن المخالفات المرورية المسجلة عليهم.,description,ar,
4_conditions,4,الشروط,أن تكون المخالفة داخل المملكة؛ المدخلات تشمل رقم الحدود أو الجواز أو الإقامة أو الهوية الخليجية.,conditions,ar,
4_fees,4,الرسوم,,fees,ar,
4_access,4,طريقة الوصول,أبشر > خدمات استعلامية / الاستعلام عن المخالفات المرورية للزائرين,access,ar,
