chunk_id,service_id,chunk_title,chunk_text,chunk_type,language,meta
1_desc,1,الوصف,الهدف من الخدمة: تمكين الأفراد المسجلين في بوابة أبشر من حجز موعد لدى المديرية العامة للجوازات.,description,ar,
1_conditions,1,الشروط,,conditions,ar,
1_fees,1,الرسوم,,fees,ar,
1_access,1,طريقة الوصول,مواعيد > الجوازات > حجز موعد,access,ar,
2_desc,2,الوصف,الهدف من الخدمة: تمكين المواطنين المسجلين والمفعلين ببوابة أبشر من نقل خدمات العمالة المنزلية إلكترونياً.,description,ar,
2_conditions,2,الشروط,"الشروط:
عدم وجود مخالفة مرورية… (النص الكامل موجود لدى المستخدم)",conditions,ar,
2_fees,2,الرسوم,2000 ريال للمرة الأولى، 4000 ريال للمرة الثانية، 6000 ريال للمرة الثالثة.,fees,ar,
2_access,2,طريقة الوصول,خدمات العمالة > خدمات > نقل خدمات العمالة المنزلية,access,ar,
3_desc,3,الوصف,تمكين الأفراد من إصدار وإلغاء تصاريح السفر لأحد أفراد الأسرة بشكل إلكتروني.,description,ar,
3_conditions,3,الشروط,الشروط: النص الكامل كما ورد.,conditions,ar,
3_fees,3,الرسوم,,fees,ar,
3_access,3,طريقة الوصول,خدمات أفراد الأسرة > خدمات > تصاريح السفر لأفراد الأسرة,access,ar,
4_desc,4,الوصف,تمكين المستخدم من تفويض من يرغب لاستقبال العاملة القادمة للعمل.,description,ar,
4_conditions,4,الشروط,يمكن استقبال القادمات للعمل من مطارات محددة.,conditions,ar,
4_fees,4,الرسوم,,fees,ar,
4_access,4,طريقة الوصول,التفويض > تفويض استقبال القادمات للعمل,access,ar,
5_desc,5,الوصف,تمكين المواطن من تجديد جواز السفر له أو أحد أفراد الأسرة السعوديين بشكل إلكتروني.,description,ar,
5_conditions,5,الشروط,شروط الخدمة كما وردت بالتفصيل.,conditions,ar,
5_fees,5,الرسوم,300 ريال لمدة 5 سنوات، 600 ريال لمدة 10 سنوات.,fees,ar,
5_access,5,طريقة الوصول,خدماتي > خدمات > الجوازات > تجديد جواز السفر السعودي,access,ar,
