chunk_id,service_id,chunk_title,chunk_text,chunk_type,language,meta
1_description,1,الوصف,تمكين المواطن والمقيم من حجز موعد بفروع المرور لإجراء خدمات متعددة.,description,ar,
1_conditions,1,الشروط,,conditions,ar,
1_fees,1,الرسوم,,fees,ar,
1_access,1,طريقة الوصول,مواعيد > المرور > حجز موعد,access,ar,
2_description,2,الوصف,تقديم طلب للمرور لتركيب جهاز التنبيه (السفتي).,description,ar,
2_conditions,2,الشروط,لا يمكن رفع طلب جديد بوجود طلب قائم.,conditions,ar,
2_fees,2,الرسوم,,fees,ar,
2_access,2,طريقة الوصول,خدماتي > خدمات > المرور > تواصل,access,ar,
3_description,3,الوصف,تجديد رخصة سير المركبات إلكترونياً.,description,ar,
3_conditions,3,الشروط,وثيقة تأمين سارية، فحص دوري، سداد الرسوم والمخالفات، صلاحية 180 يوم.,conditions,ar,
3_fees,3,الرسوم,100 ريال لكل سنة.,fees,ar,
3_access,3,طريقة الوصول,خدمات المركبات > خدمات > إدارة المركبات > تجديد رخصة سير,access,ar,
4_description,4,الوصف,تجديد رخص القيادة إلكترونياً.,description,ar,
4_conditions,4,الشروط,سداد الرسوم، سداد المخالفات، فحص طبي، صلاحية أقل من 180 يوم.,conditions,ar,
4_fees,4,الرسوم,40 ريال سنوياً، 200 للدراجات 10 سنوات.,fees,ar,
4_access,4,طريقة الوصول,خدماتي > خدمات > المرور > تجديد رخصة القيادة,access,ar,
5_description,5,الوصف,بيع مركبة خاصة ونقل ملكيتها إلكترونياً.,description,ar,
5_conditions,5,الشروط,حساب بنكي، سداد الرسوم، عدم وجود مخالفات، إتمام تسليم المركبة.,conditions,ar,
5_fees,5,الرسوم,230 ريال.,fees,ar,
5_access,5,طريقة الوصول,خدمات المركبات > خدمات > مبايعة المركبات,access,ar,
6_description,6,الوصف,إضافة مفوض قيادة مركبة داخل/خارج المملكة.,description,ar,
6_conditions,6,الشروط,رخصة سارية، عدم وجود مخالفات، تأشيرة مناسبة، حساب مفعل بأبشر.,conditions,ar,
6_fees,6,الرسوم,,fees,ar,
6_access,6,طريقة الوصول,خدمات المركبات > خدمات > إدارة المركبات > إصدار تفويض > إضافة مستخدم فعلي,access,ar,
7_description,7,الوصف,إلغاء مستخدم فعلي للمركبة.,description,ar,
7_conditions,7,الشروط,لا يمكن الإلغاء بوجود مخالفات على المفوض أو المفوض له.,conditions,ar,
7_fees,7,الرسوم,,fees,ar,
7_access,7,طريقة الوصول,خدمات المركبات > خدمات > إدارة المركبات > إلغاء تفويض > إلغاء مستخدم المركبة,access,ar,
8_description,8,الوصف,طلب إذن إصلاح المركبة دون زيارة المرور.,description,ar,
8_conditions,8,الشروط,شروط للحوادث المسجلة وغير المسجلة، اعتماد الورشة، انتهاء الطلب خلال 24 ساعة.,conditions,ar,
8_fees,8,الرسوم,,fees,ar,
8_access,8,طريقة الوصول,خدمات المركبات > خدمات > إدارة المركبات > إصدار إذن إصلاح المركبة,access,ar,
9_description,9,الوصف,الاعتراض على المخالفات المرورية الصادرة.,description,ar,
9_conditions,9,الشروط,ألا تتجاوز المخالفة 30 يوم، لا اعتراض سابق، حد 5 اعتراضات مرفوضة سنوياً.,conditions,ar,
9_fees,9,الرسوم,,fees,ar,
9_access,9,طريقة الوصول,خدماتي > خدمات > المرور > الاعتراض على المخالفات المرورية,access,ar,
10A_description,10A,الوصف,الاستعلام عن تفاصيل المخالفات المرورية.,description,ar,
10A_conditions,10A,الشروط,,conditions,ar,
10A_fees,10A,الرسوم,,fees,ar,
10A_access,10A,طريقة الوصول,أبشر > خدماتي / استعلامات / المرور,access,ar,
10B_description,10B,الوصف,التحقق من صلاحية التأمين.,description,ar,
10B_conditions,10B,الشروط,مدخلات: الهوية، اللوحة، الرمز المرئي.,conditions,ar,
10B_fees,10B,الرسوم,,fees,ar,
10B_access,10B,طريقة الوصول,أبشر > استعلامات,access,ar,
10C_description,10C,الوصف,الاستعلام عن بيانات رخص القيادة.,description,ar,
10C_conditions,10C,الشروط,,conditions,ar,
10C_fees,10C,الرسوم,,fees,ar,
10C_access,10C,طريقة الوصول,أبشر > خدماتي / استعلامات / المرور,access,ar,
10D_description,10D,الوصف,استعراض وطباعة تقارير الحوادث.,description,ar,
10D_conditions,10D,الشروط,مدخلات: الرقم التسلسلي، رقم الحادث.,conditions,ar,
10D_fees,10D,الرسوم,,fees,ar,
10D_access,10D,طريقة الوصول,أبشر > خدمات المركبات / استعلامات,access,ar,
10E_description,10E,الوصف,عرض المركبات المحجوزة ومواقع الحجز.,description,ar,
10E_conditions,10E,الشروط,,conditions,ar,
10E_fees,10E,الرسوم,,fees,ar,
10E_access,10E,طريقة الوصول,أبشر > خدمات المركبات / استعلامات,access,ar,
10F_description,10F,الوصف,الاستعلام عن مخالفات الزائرين.,description,ar,
10F_conditions,10F,الشروط,مدخلات: رقم الحدود/جواز/هوية...,conditions,ar,
10F_fees,10F,الرسوم,,fees,ar,
10F_access,10F,طريقة الوصول,أبشر > خدمات استعلامية,access,ar,
