"lang","question","ground_truth"
"Spanish","¿Cuáles son los requisitos y tarifas para renovar la licencia de circulación?","Bienvenido. Para renovar la licencia de circulación del vehículo, la tarifa es de 100 SAR por año. Además, debe cumplir con las siguientes condiciones: tener un documento de seguro válido, realizar una inspección técnica periódica válida, pagar todas las tarifas y multas pendientes, y la licencia debe tener una validez inferior a 180 días."
"Arabic","ما هي شروط ورسوم تجديد رخصة السير؟","أهلاً بك. رسوم تجديد رخصة سير المركبة هي 100 ريال سعودي لكل سنة. أما الشروط فهي: وجود وثيقة تأمين سارية، واجتياز الفحص الدوري للمركبة، وسداد كافة الرسوم والمخالفات المرورية، وأن تكون الفترة المتبقية في صلاحية الرخصة أقل من 180 يوماً."
"German","Was sind die Gebühren für die Erneuerung der Fahrzeugzulassung?","Willkommen. Die Gebühr für die Erneuerung der Fahrzeugzulassung beträgt 100 SAR pro Jahr. Zu den Bedingungen gehören: eine gültige Versicherungspolice, eine gültige regelmäßige Fahrzeuginspektion, die Zahlung aller Gebühren und Bußgelder sowie eine Restgültigkeit von weniger als 180 Tagen."
"Arabic","كم تبلغ رسوم نقل خدمات العمالة المنزلية؟","أهلاً وسهلاً. رسوم نقل خدمات العمالة المنزلية محددة كالتالي: 2000 ريال سعودي للمرة الأولى، و4000 ريال سعودي للمرة الثانية، و6000 ريال سعودي للمرة الثالثة. يرجى التأكد من عدم وجود مخالفات لإتمام العملية."
"Spanish","¿Cuánto cuesta transferir el patrocinio de un trabajador doméstico?","Hola. Las tarifas para transferir el patrocinio de un trabajador doméstico son: 2000 SAR por la primera vez, 4000 SAR por la segunda vez y 6000 SAR por la tercera vez. Asegúrese de cumplir con los requisitos antes de solicitar."
"French","Combien coûte le transfert de parrainage d'un travailleur domestique ?","Bienvenue. Les frais de transfert de parrainage pour un travailleur domestique sont de 2000 SAR pour la première fois, 4000 SAR pour la deuxième fois et 6000 SAR pour la troisième fois."
"German","Was sind die Bedingungen für die Änderung des Berufs?","Hallo. Um den Beruf eines Arbeitnehmers zu ändern, müssen folgende Bedingungen erfüllt sein: Der Arbeitnehmer darf nicht abwesend sein, die Lizenzen der Einrichtung müssen gültig sein, die Arbeitserlaubnis muss gültig sein, und die Einrichtung muss sich im grünen Bereich oder höher befinden. Außerdem darf die Änderung nicht öfter als einmal alle 6 Monate erfolgen."
"Spanish","¿Cuáles son las condiciones para cambiar la profesión?","Bienvenido. Las condiciones para cambiar la profesión son: el trabajador no debe estar registrado como ausente, las licencias del establecimiento deben estar vigentes, la empresa debe estar en la categoría verde o superior, y la profesión debe estar dentro del plan de la empresa. Solo se permite un cambio cada 6 meses."
"Russian","Каковы условия для изменения профессии работника?","Приветствую. Условия изменения профессии работника: работник не должен числиться отсутствующим, лицензии учреждения должны быть действительны, учреждение должно находиться в зеленой зоне или выше. Изменение допускается не чаще одного раза в 6 месяцев."
"German","Wie melde ich einen verlorenen Personalausweis?","Willkommen. Sie können einen verlorenen Personalausweis über die Absher-Plattform melden. Gehen Sie zu: Meine Dienste > Dienste > Zivilangelegenheiten > Verlorene Dokumente melden. Folgen Sie dann den Anweisungen."
"English","How can I report a lost National ID?","Welcome. To report a lost National ID, please visit the Absher platform and navigate to: My Services > Services > Civil Affairs > Report Lost Documents. You can then submit the report electronically."
"Russian","Как сообщить об утере удостоверения личности?","Здравствуйте. Сообщить об утере удостоверения личности можно через платформу Absher. Перейдите в: Мои услуги > Услуги > Гражданские дела > Сообщить об утере документов."
"Arabic","كيف أتحقق من أهليتي للحج؟","وعليكم السلام. للتحقق من أهليتك لأداء الحج، يرجى الدخول إلى منصة أبشر، ثم التوجه إلى: خدماتي > استعلامات > الأحوال المدنية > الاستعلام العام عن أحقية القيام بالحج. ستظهر لك النتيجة فور إدخال البيانات."
"English","How do I check my Hajj eligibility?","Welcome. You can check your Hajj eligibility through Absher by going to: My Services > Inquiries > Civil Affairs > General Inquiry about Hajj Eligibility. Enter your details to view the status."
"Spanish","¿Cómo verifico mi elegibilidad para el Hajj?","Hola. Puede verificar su elegibilidad para el Hajj a través de Absher navegando a: Mis Servicios > Consultas > Asuntos Civiles > Consulta General sobre Elegibilidad para el Hajj."
